id_loja,data,Week,Meta_de_receita
319,2024-03-31,14,11869
320,2024-03-31,14,24925
321,2024-03-31,14,10682
322,2024-03-31,14,10682
332,2024-03-31,14,17804
330,2024-03-31,14,22551
329,2024-03-31,14,9495
331,2024-03-31,14,13056
324,2024-03-31,14,21364
392,2024-03-31,14,13056
326,2024-03-31,14,15430
327,2024-03-31,14,13056
354,2024-03-31,14,14243
357,2024-03-31,14,20177
346,2024-03-31,14,13056
348,2024-03-31,14,13056
356,2024-03-31,14,17804
347,2024-03-31,14,16617
350,2024-03-31,14,15430
349,2024-03-31,14,18516
351,2024-03-31,14,23738
359,2024-03-31,14,15430
358,2024-03-31,14,11869
353,2024-03-31,14,16617
282,2024-03-31,14,11869
283,2024-03-31,14,14243
284,2024-03-31,14,16617
285,2024-03-31,14,11869
352,2024-03-31,14,18990
498,2024-03-31,14,8308
543,2024-03-31,14,8308
654,2024-03-31,14,11869
655,2024-03-31,14,9495
704,2024-03-31,14,10682
773,2024-03-31,14,10682
339,2024-03-31,14,28486
333,2024-03-31,14,20177
334,2024-03-31,14,15430
335,2024-03-31,14,21364
336,2024-03-31,14,24925
337,2024-03-31,14,15430
338,2024-03-31,14,18990
783,2024-03-31,14,11869
784,2024-03-31,14,7121
978,2024-03-31,14,0
988,2024-03-31,14,0
1046,2024-03-31,14,0
319,2024-04-07,15,10790
320,2024-04-07,15,22659
321,2024-04-07,15,9711
322,2024-04-07,15,9711
332,2024-04-07,15,16185
330,2024-04-07,15,20501
329,2024-04-07,15,8632
331,2024-04-07,15,11869
324,2024-04-07,15,19422
392,2024-04-07,15,11869
326,2024-04-07,15,14027
327,2024-04-07,15,11869
354,2024-04-07,15,12948
357,2024-04-07,15,18343
346,2024-04-07,15,11869
348,2024-04-07,15,11869
356,2024-04-07,15,16185
347,2024-04-07,15,15106
350,2024-04-07,15,14027
349,2024-04-07,15,16832
351,2024-04-07,15,21580
359,2024-04-07,15,14027
358,2024-04-07,15,10790
353,2024-04-07,15,15106
282,2024-04-07,15,10790
283,2024-04-07,15,12948
284,2024-04-07,15,15106
285,2024-04-07,15,10790
352,2024-04-07,15,17264
498,2024-04-07,15,7553
543,2024-04-07,15,7553
654,2024-04-07,15,10790
655,2024-04-07,15,8632
704,2024-04-07,15,9711
773,2024-04-07,15,9711
339,2024-04-07,15,25896
333,2024-04-07,15,18343
334,2024-04-07,15,14027
335,2024-04-07,15,19422
336,2024-04-07,15,22659
337,2024-04-07,15,14027
338,2024-04-07,15,17264
783,2024-04-07,15,10790
784,2024-04-07,15,6474
978,2024-04-07,15,0
988,2024-04-07,15,0
1046,2024-04-07,15,0
319,2024-04-14,16,10251
320,2024-04-14,16,21526
321,2024-04-14,16,9225
322,2024-04-14,16,9225
332,2024-04-14,16,15376
330,2024-04-14,16,19476
329,2024-04-14,16,8200
331,2024-04-14,16,11276
324,2024-04-14,16,18451
392,2024-04-14,16,11276
326,2024-04-14,16,13326
327,2024-04-14,16,11276
354,2024-04-14,16,12301
357,2024-04-14,16,16185
346,2024-04-14,16,11276
348,2024-04-14,16,11276
356,2024-04-14,16,15376
347,2024-04-14,16,14351
